"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41","Dim.42","Dim.43","Dim.44","Dim.45","Dim.46","Dim.47","Dim.48","Dim.49","Dim.50"
"earlyTraining:0",1.17758027684021,1.06850217960962,-0.335186980771389,0.158634145805114,0.839850121334811,-0.0945455736776164,0.0158666856676831,-0.00619466001598946,-0.361908274659405,0.0773415812967066,0.299654771263791,0.08401649961735,-0.0694050253393252,-0.110621571999734,-0.0594822070198663,0.138323232646095,-0.24598047406381,-0.0188640364549733,0.0825091143697139,-0.0678192221739716,-0.0183037890243692,0.0199571118561069,0.0336856761933777,-0.0510449376765299,-0.0358258813750487,0.0640520892532605,-0.0501529139427715,0.00779632631918476,0.0321245657130121,-0.00612623485050671,-0.0480037438548564,-0.0105451624642863,-0.00813718417867583,-0.0404986787207849,0.0205517252629714,0.0531832395809049,0.00462886225727211,0.0106646651626016,-0.0130885740566075,-0.0147212594905948,-0.0340693125516953,0.0298828435430213,0.0195363687014689,0.0391597542883504,-0.0267883794675009,-0.0208093544269306,0.0179744814852789,-0.00289967175908413,-0.0108593194079176,-0.00446230247392885
"earlyTraining:1",-3.5327408305207,-3.20550653882893,1.00556094231417,-0.475902437415351,-2.51955036400447,0.283636721032843,-0.0476000570030173,0.0185839800479714,1.08572482397821,-0.232024743890116,-0.898964313791369,-0.252049498852044,0.208215076017963,0.3318647159992,0.178446621059595,-0.414969697938286,0.737941422191433,0.0565921093649198,-0.247527343109148,0.203457666521917,0.0549113670731087,-0.0598713355683223,-0.101057028580129,0.153134813029587,0.107477644125148,-0.19215626775978,0.150458741828312,-0.023388978957554,-0.0963736971390356,0.0183787045515207,0.144011231564567,0.0316354873928614,0.024411552536027,0.12149603616235,-0.0616551757889149,-0.159549718742715,-0.0138865867718194,-0.031993995487803,0.0392657221698218,0.044163778471783,0.102207937655088,-0.0896485306290633,-0.0586091061044072,-0.117479262865051,0.0803651384025033,0.0624280632807929,-0.0539234444558348,0.00869901527725315,0.0325779582237522,0.0133869074217905
"simpleProblem:0",0.985077604851322,0.944683703853484,-0.463063282643278,0.249811434089819,1.25816018994982,-0.47938130992351,-0.0186208020909389,-0.0418562925300489,-0.375622225964497,0.0326761403673429,0.322648014481447,0.0494963730292907,-0.0784548000053311,-0.145924585223518,-0.203956600681659,0.21866224584478,-0.064287939590437,0.218993857959204,0.0381567798133761,-0.0705730430976652,-0.0507912402110163,-0.00885894772150986,0.0444946546009319,0.0395714648025332,0.0657016628019106,-0.030509881586256,-0.0387829630918235,0.0144747498038075,-0.0317420335196292,-0.0415051815499813,-0.0236239940800766,0.0514365832113082,-0.0192789210785401,-0.0691121100823766,-0.0711587900031365,0.0239801131226366,-0.043126147502221,0.073151477751876,0.0661777818857268,-0.0146203046233604,-0.0479182993384328,-0.00365642703262898,0.0141354934712114,-0.0244045460057252,-0.00789522916612143,-0.0445130577691866,0.0652690284553656,0.0140974656033907,-0.0187457837285608,-0.0111562720991911
"simpleProblem:1",-1.97015520970263,-1.88936740770697,0.926126565286569,-0.499622868179641,-2.51632037989966,0.958762619847038,0.0372416041818514,0.0837125850600956,0.751244451928998,-0.0653522807346925,-0.645296028962891,-0.0989927460585801,0.156909600010665,0.291849170447034,0.407913201363312,-0.437324491689561,0.128575879180879,-0.437987715918407,-0.0763135596267524,0.14114608619533,0.101582480422033,0.0177178954430218,-0.0889893092018684,-0.0791429296050643,-0.131403325603822,0.0610197631725139,0.0775659261836482,-0.0289494996076156,0.0634840670392594,0.083010363099963,0.0472479881601545,-0.102873166422617,0.0385578421570805,0.138224220164755,0.142317580006273,-0.047960226245271,0.0862522950044452,-0.146302955503753,-0.132355563771452,0.029240609246722,0.0958365986768639,0.00731285406525547,-0.0282709869424225,0.0488090920114492,0.0157904583322425,0.0890261155383731,-0.130538056910731,-0.028194931206782,0.0374915674571215,0.0223125441983796
"newLevelDifficulty:0",-0.151577623566884,-0.276057392172366,-0.538272331563866,0.0621580088022604,0.237881296679469,0.632840137274377,0.0246648027228948,0.0677196714908224,-0.0363170759483051,0.437873290560161,-0.275419330630154,0.280959242540574,-0.471864010686206,-0.0224553620467491,-0.565611253815774,0.570555718989187,0.0827080269403542,-0.777860647667484,0.24795722013384,-0.136441773996795,0.012386757016363,0.00213341496713993,0.0967350467860824,-0.0734067962492813,-0.0876697793118805,0.196984992717199,-0.121382258017648,-0.0142484134786238,0.118065490354148,0.073251295759847,-0.100714496335653,-0.0536267077497324,0.0577507665095735,-0.0170877692691793,0.0192219798592621,0.0143546037398191,0.0186205050620254,0.0173098111849459,-0.092806822049898,-0.00652208897219961,0.0277940513556356,0.0606755839939792,-0.00194694844843296,0.0466552171062313,-0.0182885487864232,-0.026107904402205,-0.00870829837169864,0.00174780133327256,-0.00205844163577492,-0.0586811767198148
"newLevelDifficulty:1",0.151577623566884,0.276057392172366,0.538272331563867,-0.0621580088022605,-0.237881296679469,-0.632840137274376,-0.0246648027228948,-0.0677196714908223,0.0363170759483048,-0.43787329056016,0.275419330630155,-0.280959242540573,0.471864010686207,0.0224553620467489,0.565611253815774,-0.570555718989188,-0.0827080269403548,0.777860647667486,-0.247957220133841,0.136441773996795,-0.012386757016363,-0.00213341496713975,-0.0967350467860825,0.0734067962492816,0.0876697793118805,-0.196984992717199,0.121382258017648,0.0142484134786239,-0.118065490354149,-0.073251295759847,0.100714496335653,0.0536267077497323,-0.0577507665095733,0.0170877692691795,-0.0192219798592621,-0.0143546037398191,-0.0186205050620255,-0.017309811184946,0.0928068220498982,0.00652208897219961,-0.0277940513556355,-0.0606755839939793,0.00194694844843291,-0.0466552171062314,0.0182885487864231,0.0261079044022051,0.00870829837169861,-0.00174780133327253,0.00205844163577481,0.0586811767198151
"performanceDifficulty:0.093988",8.48002119801194e-41,-2.17349227590105e-40,9.26024755774119e-42,-3.57999959731895e-41,-4.2741899826111e-41,-4.52851864360499e-42,1.59000749514665e-41,-2.87729039559188e-41,-9.24799064052463e-42,4.08307230919544e-41,-1.68708756877402e-42,4.35061490906457e-41,-7.38913614165398e-41,-6.73602960233101e-41,-3.2723575401106e-42,-2.76363823850138e-41,3.5689706392026e-41,-2.29244928632354e-41,-4.63768004476853e-41,-7.88204141015817e-42,3.54986083202858e-41,5.00896134225159e-41,-5.06117889782861e-41,-4.41822026663259e-42,5.72119867129988e-42,-3.96521797212035e-41,2.83619423448271e-41,-4.65245179802357e-42,-1.1470548123324e-42,-1.07818294116964e-41,1.46014209540656e-40,8.32582990309349e-41,-8.34944887888883e-41,3.56895636088689e-42,1.13064339203837e-41,-6.25581020833111e-41,-6.35013798592019e-41,5.06229864219626e-39,3.66301162268071e-40,2.40875558266275e-40,4.49091538248913e-39,-1.34841185185223e-38,-7.65777259559846e-39,-4.32593049156734e-39,-5.49346181002818e-39,7.58749713963187e-39,-3.22885523021672e-38,-3.2882283904039e-37,1.70533794436828e-37,9.54717945649865e-38
"principleDifficulty:1",8.4794327391012e-41,-2.1733299932361e-40,9.23867429275678e-42,-3.58389254926349e-41,-4.27773654424494e-41,-4.54202032123343e-42,1.59678324368547e-41,-2.87742213637768e-41,-9.29955435692381e-42,4.05183153909735e-41,-1.61615120142235e-42,4.31879286046837e-41,-7.37280365675602e-41,-6.72946017805527e-41,-3.16838278166716e-42,-2.76748085109641e-41,3.59738395829504e-41,-2.39744651522956e-41,-4.59322324452517e-41,-4.56046683455481e-42,3.47162526041174e-41,5.0229268907514e-41,-5.15229257982042e-41,-3.50253609388653e-42,5.50006641946453e-42,-4.10194701809364e-41,2.96081867051222e-41,-5.12103670421395e-42,-1.63579611665972e-42,-1.12729747784193e-41,1.46509035001113e-40,8.25602132003759e-41,-8.27046491649988e-41,4.76128680298612e-42,8.54141961360971e-42,-1.62888205808064e-41,-1.42803793427217e-40,6.76837989295391e-38,4.02742760176996e-39,2.62821237206827e-39,4.67164832098789e-38,-1.42124154800696e-37,-9.07872832028736e-38,-6.65717534474805e-38,-9.71939971610268e-38,7.33303413197231e-38,-3.13905342488045e-37,-4.44688135982647e-36,2.19286644909517e-36,1.06976684327646e-36
"principleCategory:0",8.4794327391012e-41,-2.1733299932361e-40,9.23867429275678e-42,-3.58389254926349e-41,-4.27773654424494e-41,-4.54202032123343e-42,1.59678324368547e-41,-2.87742213637768e-41,-9.29955435692381e-42,4.05183153909735e-41,-1.61615120142235e-42,4.31879286046837e-41,-7.37280365675602e-41,-6.72946017805527e-41,-3.16838278166716e-42,-2.76748085109641e-41,3.59738395829504e-41,-2.39744651522956e-41,-4.59322324452517e-41,-4.56046683455481e-42,3.47162526041174e-41,5.0229268907514e-41,-5.15229257982042e-41,-3.50253609388653e-42,5.50006641946453e-42,-4.10194701809364e-41,2.96081867051222e-41,-5.12103670421395e-42,-1.63579611665972e-42,-1.12729747784193e-41,1.46509035001113e-40,8.25655725395297e-41,-8.27068084260361e-41,2.74010878678326e-42,1.19744671154459e-41,-7.28477072351048e-41,-4.63907717475721e-41,-8.91290702837167e-39,-4.51620133826394e-40,-2.91986376503269e-40,-4.98257456896647e-39,1.58166737265791e-38,1.05850805584094e-38,8.38789110876997e-39,1.18258571229541e-38,-7.21298464995779e-39,4.61859378008108e-38,6.53108276467129e-37,-2.81849936035473e-37,-1.61057165295958e-37
"problemCompexity:2",-0.603404302755673,-0.553065714196218,1.23838494821234,-0.538870203953145,-2.48446898673927,0.527251502293089,0.247880563415671,-0.0622343471456144,0.356691153125732,-1.33257874312564,0.198789237294133,-0.997034160078067,0.296522460267644,0.428619015441776,-0.30001707091043,0.392262130360533,1.2320531144552,0.235121313547814,-0.394439170712318,0.224439841330392,0.129729115250332,0.0436425830528082,-0.169450550035086,0.0646659322531365,-0.171174365514981,0.18058351016288,-0.099838320627869,-0.0745670773312476,-0.0486227638438758,-0.0907655873528212,0.133111091605182,0.0765765560853792,-0.0179697342462492,-0.0253329943228149,0.030451796222916,-0.0546562059302273,-0.0449027703219469,0.0313346876816935,0.0937763865870653,-0.0125350841449514,-0.0103604470006748,-0.00853853829608581,-0.00548158008333134,-0.0887040772265657,-0.0104410483475602,0.00279552064713927,0.0339810842359294,0.0220041780148981,-0.0227286504839443,0.0700398784686506
