student,currProb,course,session,priorTutorAction,reward,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30,Dim.31,Dim.32,Dim.33,Dim.34,Dim.35,Dim.36,Dim.37,Dim.38,Dim.39,Dim.40,Dim.41,Dim.42,Dim.43,Dim.44,Dim.45,Dim.46,Dim.47,Dim.48,Dim.49,Dim.50
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,-1.405024302,5.064328243,1.751877293,-5.938734683,-1.890695033,0.472524926,1.606970395,3.925296944,0.507214373,0.808301464,-1.311230649,-0.93421528,0.768806384,-0.924479283,-0.60435179,0.724942385,0.148157053,-1.463996265,-2.311851171,-0.609952615,0.416229899,2.945365752,1.190871163,1.833809686,-2.009064418,-1.447507228,0.428813012,2.50274016,-0.470718,-0.20492591,0.40617572,-0.033957339,0.69459779,1.144629968,-0.467776908,0.606387064,-0.040116552,-0.163503823,0.088239942,0.06306232,0.377268775,-0.085731134,1.101624905,0.297017304,0.532107382,0.396822712,1.12854315,-0.720532267,0.751791644,-0.504919637
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,-3.04548704,1.471962412,3.234837186,-2.059656579,0.787352099,-0.055890793,0.994355376,0.57047793,3.244665859,1.840591832,-2.925549432,-0.731170426,1.660240311,-0.220005846,1.626864756,0.972702274,-0.335959043,0.247801967,-2.274496864,-0.395221629,1.165366558,-0.584540418,-0.495480945,-1.467729164,0.704165011,0.715771145,0.060763202,0.132950381,0.969049945,-0.540074496,-1.087790041,-0.054565949,-0.235736778,0.507896053,0.024499497,-1.010345699,-0.241677412,-0.371634592,0.058657405,0.024306727,-0.46904121,-0.227347452,-0.254439226,-0.028890131,-0.438635602,-0.286090629,0.112907868,-0.220981473,-0.480503951,-0.736329365
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,-2.960416802,1.436563717,1.406684228,-2.364649078,3.625131543,-1.254553355,0.714441388,0.612806931,0.514764498,0.473098061,-0.475765217,0.579666985,2.009994661,-1.524647184,-0.05737902,0.479958372,-1.643759223,0.268842785,-0.633825496,0.033272995,0.73734472,0.862320002,-0.728502124,0.879223203,-0.94371112,-0.710805483,1.063394277,-0.162706781,-0.439239547,-0.729673483,-0.579177315,1.09776408,-0.042970981,0.693569705,0.99111411,-0.075486878,0.095666926,1.148679826,-0.533630487,-0.40883653,-0.140637121,-0.681074705,-0.326874417,-0.611193836,-0.458115182,-0.907264238,0.223195341,0.654656133,0.186048806,-0.253585954
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,4.728795331,2.471304657,1.939788733,-3.05846311,-0.050846247,0.415512568,-0.769863284,-2.380075472,-0.50383527,2.912746104,-0.370171236,-1.28304672,1.945371775,1.36679393,-1.184279686,-0.723719049,-3.167330691,1.84221521,-0.985763431,0.752590232,-0.087760445,-0.765143535,0.150698915,1.109523344,-0.245377478,-0.703653442,-0.274647181,-0.503429597,-3.056972513,-0.874177537,-2.188966339,-0.006924351,-1.293623803,0.790300819,-0.891865652,-0.612609835,-0.499239427,1.739466648,-0.254541376,1.391306754,1.030032022,-0.793792546,1.697565954,2.311453321,-0.277494988,-1.223607275,-1.260246636,-1.626285752,0.873941669,0.216092709
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,-1.927480399,2.337492754,-1.57375739,-2.789889048,-2.788178171,2.111112088,-0.906984706,1.645429041,-2.474479604,-1.030198071,-0.866706793,0.368372685,-0.545718639,-0.513136646,-0.604983199,-0.736363199,0.909794302,-1.103441354,-0.392027243,-0.73924374,-0.28876775,0.707656189,-0.041860773,0.536161597,0.356730555,-0.186189031,1.450089355,-0.650194387,0.315055874,-1.720643742,-0.035764952,0.768480503,0.65734709,1.212088681,0.124118905,-0.882955651,0.585664631,0.712216029,0.239207134,0.233914242,0.466933347,-0.464813679,0.602479894,1.738736855,0.278774191,-0.828491578,-0.66046935,-0.337250255,0.473279182,0.405541587
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,-3.992032265,0.217705133,1.529959528,1.160506882,1.18273534,2.908193786,0.426013645,-1.349710926,0.821331108,-0.565935472,-2.48718067,0.837608801,0.703490485,-0.268237353,1.688221991,-0.382977608,0.05248214,-0.49886569,-0.061899026,-1.571188643,-1.33111918,0.090681742,0.325664336,0.744745724,0.587544888,0.039371552,0.393123771,-0.780644591,0.007951793,-0.819052338,-0.110894366,1.457766919,0.095709303,0.106322483,0.369611694,-0.256571933,0.413527853,0.189340479,0.02824651,-0.366903784,-0.21739887,-0.204928019,0.041660551,0.330625478,-0.053294059,-0.007026705,0.406134909,0.122331302,0.136125471,-0.543083584
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,-1.655245602,-0.478661761,-3.38956735,-2.680753525,1.246852966,0.99954638,-1.345108186,-1.507329055,-0.917512382,-0.615485826,0.064316615,-0.085744155,0.964159883,-0.417943703,-0.771414911,-1.77932502,1.214733886,1.315553126,-0.61711712,-1.122978294,-1.758867146,-0.008345643,1.224418672,-0.043994678,0.397030189,0.106436794,0.219637041,0.00420051,1.430869526,-1.08076773,-0.955761606,-0.853083203,1.40576251,1.621310149,-1.191078145,-0.500447178,0.000519443,-0.130644246,0.807853704,0.043258885,0.311198961,-0.123398798,0.319165076,0.697274233,-0.412492285,-0.500693585,-1.108675126,-0.439396403,0.174061466,0.101332318
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,-5.37723384,2.221999583,2.922212118,1.8605247,1.768936102,1.232834141,2.252563496,1.716625383,-2.622859364,-0.454592077,1.867970649,0.549746114,-0.025980578,0.321651443,0.091913094,-0.455969694,-0.42265957,0.354101499,0.542225829,-1.164338813,-0.50951745,0.809358324,-0.722909912,0.447077805,0.456914503,0.277389858,0.106875819,0.872503697,-0.527480659,0.614497721,-0.288454984,0.601874564,0.116373584,0.344481772,0.198852852,0.243216249,-0.572097755,0.642534944,-0.414850608,0.196716414,0.184212061,-0.084520264,0.110822705,-0.486938458,-0.549183335,0.163034158,-0.694411809,0.691668254,0.481387369,0.346333918
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,-5.338995183,0.345486981,3.105265216,3.273857997,1.490548615,0.999738165,0.787759431,-1.949101076,0.837303558,0.081768963,0.767237417,-1.013715644,-0.42271423,0.057347714,-2.592122789,0.307059437,0.467390124,0.255454511,0.218878168,-0.378205901,1.497601011,1.254496677,-1.045628149,0.310461735,0.262079116,1.35554851,-0.466790578,1.353121578,-0.045417679,1.016885468,0.108093457,0.385856696,0.252568836,-0.268400724,0.632081262,-0.141311448,-0.068634409,0.078664361,-0.176536821,-0.411374423,0.078471265,0.321970552,0.067322099,0.137360953,0.15384875,0.172911298,-0.242690045,0.249070944,0.31780463,-0.0771356
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,-1.798682285,0.019890783,-3.159271083,-1.232592247,1.291456483,0.597187433,-0.591225378,-2.224975324,-0.458496952,-0.774957294,1.346930776,-1.863070295,-0.466148542,0.001085344,-3.190553731,-0.041294484,2.31797702,2.191533457,0.675527465,0.10243663,0.372966025,-0.185746036,-1.189918098,-0.056215885,0.298725018,0.746785354,0.4228833,1.593269464,-0.307585758,1.983142041,0.878905124,0.02957191,0.775998064,1.3346883,0.678917108,-0.993806801,-0.130492567,0.129993342,-0.03959876,-0.133350954,0.129242851,0.112187219,-0.135251095,0.677106491,-0.514683359,-1.771139127,-1.041897179,-0.820467037,-0.357989621,-0.005958077
