name
englishSymbolicSwitchCount
InterfaceErrorCount
WrongSemanticsApp
WrongSyntaxApp
PrightAppRatio
RrightAppRatio
F1Score
FDActionCount
BDActionCount
DirectProofActionCount
InDirectProofActionCount
UseWindowInfo
NonPSelements
BlankRatio
SystemInfoHintCount
ruleScoreMP
ruleScoreDS
ruleScoreSIMP
ruleScoreMT
ruleScoreADD
ruleScoreCONJ
ruleScoreHS
ruleScoreCD
ruleScoreDN
ruleScoreDEM
ruleScoreIMPL
ruleScoreCONTRA
ruleScoreEQUIV
ruleScoreCOM
ruleScoreASSOC
ruleScoreDIST
ruleScoreABS
ruleScoreEXP
ruleScoreTAUT
cumul_symbolicRepresentationCount
cumul_englishSymbolicSwitchCount
cumul_InterfaceErrorCount
cumul_WrongSemanticsApp
cumul_WrongSyntaxApp
cumul_PrightAppRatio
cumul_RrightAppRatio
cumul_F1Score
cumul_FDActionCount
cumul_BDActionCount
cumul_DirectProofActionCount
cumul_InDirectProofActionCount
cumul_UseWindowInfo
cumul_NonPSelements
cumul_BlankRatio
cumul_SystemInfoHintCount
